"filename", "language", "JSON with Comments", "Log", "Python", "Markdown", "JSON", "CSS", "JavaScript", "HTML", "TypeScript", "XML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\micro\git\kiln-web\src\components\InlineMaterialForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 13, 11, 129
"c:\Users\micro\git\kiln-web\src\components\InventoryPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 2, 7, 162
"c:\Users\micro\git\kiln-web\src\components\KilnCard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\micro\git\kiln-web\src\components\KilnCreatePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\micro\git\kiln-web\src\components\KilnDeletePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 8, 80
"c:\Users\micro\git\kiln-web\src\components\KilnEditPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\micro\git\kiln-web\src\components\KilnForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 4, 15, 180
"c:\Users\micro\git\kiln-web\src\components\KilnShowPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 6, 12, 189
"c:\Users\micro\git\kiln-web\src\components\KilnsListPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\micro\git\kiln-web\src\components\LoginButton.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 5, 37
"c:\Users\micro\git\kiln-web\src\components\LoginForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\micro\git\kiln-web\src\components\LoginPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 2, 7, 57
"c:\Users\micro\git\kiln-web\src\components\MaterialAddPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\micro\git\kiln-web\src\components\MaterialCard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 4, 7, 91
"c:\Users\micro\git\kiln-web\src\components\MaterialDeletePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 9, 68
"c:\Users\micro\git\kiln-web\src\components\MaterialEditPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\micro\git\kiln-web\src\components\MaterialForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 24, 11, 111
"c:\Users\micro\git\kiln-web\src\components\PhotoDeletePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 3, 9, 76
"c:\Users\micro\git\kiln-web\src\components\PreferencePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 6, 9, 89
"c:\Users\micro\git\kiln-web\src\components\PrivacyPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 3, 192
"c:\Users\micro\git\kiln-web\src\components\ProjectCard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\micro\git\kiln-web\src\components\ProjectCreatePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 8, 45
"c:\Users\micro\git\kiln-web\src\components\ProjectDeletePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 10, 92
"c:\Users\micro\git\kiln-web\src\components\ProjectEditPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 7, 52
"c:\Users\micro\git\kiln-web\src\components\ProjectForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 6, 14, 181
"c:\Users\micro\git\kiln-web\src\components\ProjectListPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 1, 13, 144
"c:\Users\micro\git\kiln-web\src\components\ProjectShowPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 403, 0, 0, 0, 0, 0, 19, 24, 446
"c:\Users\micro\git\kiln-web\src\components\RockChoirPrivacyPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 3, 195
"c:\Users\micro\git\kiln-web\src\components\SegmentCreatePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 6, 43
"c:\Users\micro\git\kiln-web\src\components\SegmentDeletePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\micro\git\kiln-web\src\components\SegmentEditPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 15, 7, 50
"c:\Users\micro\git\kiln-web\src\components\SegmentForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 3, 6, 86
"c:\Users\micro\git\kiln-web\src\components\SegmentRow.disabled.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 19, 3, 43
"c:\Users\micro\git\kiln-web\src\components\SignedupPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\micro\git\kiln-web\src\components\SignupForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 5, 64
"c:\Users\micro\git\kiln-web\src\components\SignupPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\micro\git\kiln-web\src\components\SuperUserPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 1, 12, 165
"c:\Users\micro\git\kiln-web\src\components\SupportPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 3, 74
"c:\Users\micro\git\kiln-web\src\components\UserMenu.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 3, 51
"c:\Users\micro\git\kiln-web\src\components\__tests__\FiringCreatePage-test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\micro\git\kiln-web\src\components\__tests__\ProjectListPage.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\micro\git\kiln-web\src\database_rules.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\micro\git\kiln-web\src\helpers\Auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 5, 9, 64
"c:\Users\micro\git\kiln-web\src\helpers\PrivateRoute.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\micro\git\kiln-web\src\helpers\dates.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\micro\git\kiln-web\src\helpers\exportHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 5, 9, 111
"c:\Users\micro\git\kiln-web\src\helpers\formHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 526, 0, 0, 0, 0, 0, 175, 41, 742
"c:\Users\micro\git\kiln-web\src\helpers\glassHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 18, 12, 216
"c:\Users\micro\git\kiln-web\src\helpers\logoHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 2, 6, 73
